0,0,000000000000000000000000000000000000,000000000000000000000000000000000000,11,7223
1,1,000000000001000000000000000000000000,000000000000000000000000000000000000,24,5141
0,0,000000000001000000000000000000000000,000000000000000000000000100000000000,21,3154
1,1,000000000001000000000100000000000000,000000000000000000000000100000000000,31,5715
0,0,000000000001000000000100000000000000,000000000000000000000000100000010000,14,6837
1,1,000000000001001000000100000000000000,000000000000000000000000100000010000,33,8987
0,0,000000000001001000000100000000000000,000000000000000000000000100000010100,13,2020
1,1,000000000001011000000100000000000000,000000000000000000000000100000010100,12,4340
0,0,000000000001011000000100000000000000,000000000000100000000000100000010100,29,9471
1,1,000000000001011000000100000001000000,000000000000100000000000100000010100,5,5049
0,0,000000000001011000000100000001000000,000001000000100000000000100000010100,15,7365
1,1,000000000001011100000100000001000000,000001000000100000000000100000010100,16,3170
0,0,000000000001011100000100000001000000,000001000000100010000000100000010100,20,3125
1,1,000000000001011100001100000001000000,000001000000100010000000100000010100,2,2827
0,0,000000000001011100001100000001000000,001001000000100010000000100000010100,22,3169
1,1,000000000001011100001110000001000000,001001000000100010000000100000010100,23,3922
0,0,000000000001011100001110000001000000,001001000000100010000001100000010100,19,3977
1,0,000000000000000000000000000000000000,000000000000000000000000000000000000,33,9549
0,1,000000000000000000000000000000000100,000000000000000000000000000000000000,14,6832
1,0,000000000000000000000000000000000100,000000000000001000000000000000000000,22,5342
0,1,000000000000000000000010000000000100,000000000000001000000000000000000000,24,6654
1,0,000000000000000000000010000000000100,000000000000001000000000100000000000,30,13894
0,1,000000000000000000000010000000100100,000000000000001000000000100000000000,31,3560
1,0,000000000000000000000010000000100100,000000000000001000000000100000010000,34,13158
0,1,000000000000000000000010000000100110,000000000000001000000000100000010000,15,2047
1,0,000000000000000000000010000000100110,000000000000001100000000100000010000,13,9558
0,1,000000000000010000000010000000100110,000000000000001100000000100000010000,23,1365
1,0,000000000000010000000010000000100110,000000000000001100000001100000010000,7,8482
0,1,000000010000010000000010000000100110,000000000000001100000001100000010000,10,16508
1,0,000000010000010000000010000000100110,000000000010001100000001100000010000,20,16552
0,1,000000010000010000001010000000100110,000000000010001100000001100000010000,32,26555
1,0,000000010000010000001010000000100110,000000000010001100000001100000011000,5,10259
0,1,000001010000010000001010000000100110,000000000010001100000001100000011000,17,4049
1,0,000001010000010000001010000000100110,000000000010001101000001100000011000,16,7075
0,1,000001010000010010001010000000100110,000000000010001101000001100000011000,25,1606
1,0,000001010000010010001010000000100110,000000000010001101000001110000011000,26,5282
0,1,000001010000010010001010001000100110,000000000010001101000001110000011000,29,10557
1,0,000001010000010010001010001000100110,000000000010001101000001110001011000,6,17944
0,1,000001110000010010001010001000100110,000000000010001101000001110001011000,4,4188
1,0,000001110000010010001010001000100110,000010000010001101000001110001011000,8,5178
0,0,000000000000000000000000000000000000,000000000000000000000000000000000000,10,6593
1,1,000000000010000000000000000000000000,000000000000000000000000000000000000,31,7070
0,0,000000000010000000000000000000000000,000000000000000000000000000000010000,28,2506
1,1,000000000010000000000000000010000000,000000000000000000000000000000010000,19,7488
0,0,000000000010000000000000000010000000,000000000000000000010000000000010000,20,1877
1,1,000000000010000000001000000010000000,000000000000000000010000000000010000,30,10355
0,0,000000000010000000001000000010000000,000000000000000000010000000000110000,29,1574
1,1,000000000010000000001000000011000000,000000000000000000010000000000110000,11,9786
0,0,000000000010000000001000000011000000,000000000001000000010000000000110000,12,3390
1,1,000000000010100000001000000011000000,000000000001000000010000000000110000,4,7600
0,0,000000000010100000001000000011000000,000010000001000000010000000000110000,22,1337
1,1,000000000010100000001010000011000000,000010000001000000010000000000110000,33,14179
0,0,000000000010100000001010000011000000,000010000001000000010000000000110100,32,1740
1,1,000000000010100000001010000011001000,000010000001000000010000000000110100,2,4981
0,0,000000000010100000001010000011001000,001010000001000000010000000000110100,23,6711
1,1,000000000010100000001011000011001000,001010000001000000010000000000110100,21,6387
